subj	date	SessionTime	level	Procedure	Grid1.OnsetTime	ITI	Load	Block	Cue1_img	Cue2_img	Cue3_img	Target_img	Target.RT	Target.RTTime	Target.ACC
10370	20130315	11:34:35	2	 cueDelay	 272778	 1000	 low		 Cue5.JPG	 Cue5.JPG	 Cue5.JPG	 NA			
10370	20130315	11:34:35	2	 cueDelayProbe	 276778	 1000	 high		 Cue3.JPG	 Cue6.JPG	 Cue2.JPG	 Target1468.JPG	 1370	 281181	 1
10370	20130315	11:34:35	2	 cueDelayProbe	 283327	 1000	 low		 Cue7.JPG	 Cue7.JPG	 Cue7.JPG	 Target2358.JPG	 1088	 288948	 1
10370	20130315	11:34:35	2	 cueDelayProbe	 291377	 8000	 high		 Cue3.JPG	 Cue6.JPG	 Cue7.JPG	 Target1457.JPG	 1465	 297358	 1
10370	20130315	11:34:35	2	 cueDelayProbe	 306409	 1000	 high		 Cue6.JPG	 Cue2.JPG	 Cue4.JPG	 Target1357.JPG	 2277	 311703	 1
10370	20130315	11:34:35	2	 cueDelayProbe	 312942	 4000	 low		 Cue2.JPG	 Cue2.JPG	 Cue2.JPG	 Target2368.JPG	 948	 318407	 1
10370	20130315	11:34:35	2	 cueDelayProbe	 323975	 2000	 low		 Cue4.JPG	 Cue4.JPG	 Cue4.JPG	 Target1457.JPG	 1151	 328142	 1
10370	20130315	11:34:35	2	 cueDelayProbe	 331508	 1000	 low		 Cue5.JPG	 Cue5.JPG	 Cue5.JPG	 Target2367.JPG	 1133	 335674	 1
10370	20130315	11:34:35	2	 cue	 338057	 1000	 high		 Cue5.JPG	 Cue2.JPG	 Cue3.JPG	 NA			
10370	20130315	11:34:35	2	 cueDelayProbe	 340557	 1000	 low		 Cue8.JPG	 Cue8.JPG	 Cue8.JPG	 Target2357.JPG	 1179	 344769	 1
10370	20130315	11:34:35	2	 cue	 347107	 1000	 low		 Cue6.JPG	 Cue6.JPG	 Cue6.JPG	 NA			
10370	20130315	11:34:35	2	 cueDelayProbe	 349607	 1000	 high		 Cue6.JPG	 Cue7.JPG	 Cue4.JPG	 Target1368.JPG	 1214	 353854	 1
10370	20130315	11:34:35	2	 cueDelay	 356156	 2000	 low		 Cue1.JPG	 Cue1.JPG	 Cue1.JPG	 NA			
10370	20130315	11:34:35	2	 cueDelayProbe	 362656	 8000	 high		 Cue4.JPG	 Cue2.JPG	 Cue6.JPG	 Target1357.JPG	 1512	 367185	 1
10370	20130315	11:34:35	2	 cueDelay	 376189	 2000	 high		 Cue1.JPG	 Cue3.JPG	 Cue6.JPG	 NA			
10370	20130315	11:34:35	2	 cueDelayProbe	 381188	 4000	 high		 Cue3.JPG	 Cue5.JPG	 Cue8.JPG	 Target1467.JPG	 2385	 388090	 1
10370	20130315	11:34:35	2	 cue	 392221	 16000	 low		 Cue2.JPG	 Cue2.JPG	 Cue2.JPG	 NA			
10370	20130315	11:34:35	2	 cue	 409720	 2000	 low		 Cue4.JPG	 Cue4.JPG	 Cue4.JPG	 NA			
10370	20130315	11:34:35	2	 cueDelay	 413220	 8000	 high		 Cue4.JPG	 Cue2.JPG	 Cue5.JPG	 NA			
10370	20130315	11:34:35	2	 cue	 425719	 2000	 high		 Cue1.JPG	 Cue4.JPG	 Cue5.JPG	 NA			
10370	20130315	11:34:35	2	 cue	 429219	 1000	 high		 Cue6.JPG	 Cue1.JPG	 Cue8.JPG	 NA			
10370	20130315	11:34:35	2	 cueDelay	 431719	 1000	 high		 Cue5.JPG	 Cue8.JPG	 Cue3.JPG	 NA			
10370	20130315	11:34:35	2	 cueDelay	 435719	 1000	 low		 Cue7.JPG	 Cue7.JPG	 Cue7.JPG	 NA			
10370	20130315	11:34:35	2	 cueDelayProbe	 439718	 1000	 high		 Cue4.JPG	 Cue8.JPG	 Cue6.JPG	 Target1358.JPG	 0	 0	 0
10370	20130315	11:34:35	2	 cueDelayProbe	 446218	 2000	 low		 Cue6.JPG	 Cue6.JPG	 Cue6.JPG	 Target1357.JPG	 883	 453117	 1
10370	20130315	11:34:35	2	 cue	 456751	 1000	 low		 Cue3.JPG	 Cue3.JPG	 Cue3.JPG	 NA			
10370	20130315	11:34:35	2	 cueDelay	 459251	 2000	 low		 Cue3.JPG	 Cue3.JPG	 Cue3.JPG	 NA			
10370	20130315	11:34:35	2	 cue	 465750	 4000	 high		 Cue4.JPG	 Cue6.JPG	 Cue7.JPG	 NA			
10370	20130315	11:34:35	2	 cueDelay	 471250	 1000	 low		 Cue4.JPG	 Cue4.JPG	 Cue4.JPG	 NA			
10370	20130315	11:34:35	2	 cueDelayProbe	 475250	 1000	 high		 Cue5.JPG	 Cue3.JPG	 Cue7.JPG	 Target2468.JPG	 2195	 481978	 1
10370	20130315	11:34:35	2	 cueDelayProbe	 483299	 4000	 low		 Cue8.JPG	 Cue8.JPG	 Cue8.JPG	 Target2468.JPG	 1525	 487841	 1
10370	20130315	11:34:35	2	 cueDelay	 492832	 1000	 high		 Cue6.JPG	 Cue8.JPG	 Cue1.JPG	 NA			
10370	20130315	11:34:35	2	 cueDelay	 498332	 2000	 high		 Cue2.JPG	 Cue7.JPG	 Cue5.JPG	 NA			
10370	20130315	11:34:35	2	 cueDelayProbe	 506331	 1000	 low		 Cue5.JPG	 Cue5.JPG	 Cue5.JPG	 Target1357.JPG	 1076	 513424	 1
10370	20130315	11:34:35	2	 cueDelayProbe	 515864	 1000	 high		 Cue8.JPG	 Cue6.JPG	 Cue2.JPG	 Target1358.JPG	 0	 0	 0
10370	20130315	11:34:35	2	 cueDelayProbe	 523864	 2000	 high		 Cue1.JPG	 Cue4.JPG	 Cue7.JPG	 Target2368.JPG	 1101	 530964	 1
10370	20130315	11:34:35	2	 cue	 534380	 4000	 high		 Cue3.JPG	 Cue7.JPG	 Cue6.JPG	 NA			
10370	20130315	11:34:35	2	 cueDelay	 539880	 2000	 low		 Cue3.JPG	 Cue3.JPG	 Cue3.JPG	 NA			
10370	20130315	11:34:35	2	 cueDelay	 547879	 4000	 high		 Cue5.JPG	 Cue1.JPG	 Cue8.JPG	 NA			
10370	20130315	11:34:35	2	 cue	 554879	 16000	 low		 Cue8.JPG	 Cue8.JPG	 Cue8.JPG	 NA			
10370	20130315	11:34:35	2	 cueDelayProbe	 572378	 1000	 low		 Cue3.JPG	 Cue3.JPG	 Cue3.JPG	 Target2368.JPG	 1056	 577950	 1
10370	20130315	11:34:35	2	 cueDelayProbe	 580411	 4000	 high		 Cue2.JPG	 Cue8.JPG	 Cue6.JPG	 Target1467.JPG	 1994	 588421	 1
10370	20130315	11:34:35	2	 cue	 592943	 1000	 high		 Cue8.JPG	 Cue4.JPG	 Cue1.JPG	 NA			
10370	20130315	11:34:35	2	 cue	 595443	 2000	 low		 Cue1.JPG	 Cue1.JPG	 Cue1.JPG	 NA			
10370	20130315	11:34:35	2	 cueDelayProbe	 598943	 1000	 low		 Cue2.JPG	 Cue2.JPG	 Cue2.JPG	 Target1467.JPG	 1146	 603106	 1
10370	20130315	11:34:35	2	 cueDelayProbe	 605476	 2000	 high		 Cue6.JPG	 Cue1.JPG	 Cue4.JPG	 Target2357.JPG	 1408	 609884	 1
10370	20130315	11:34:35	2	 cueDelayProbe	 612992	 8000	 low		 Cue6.JPG	 Cue6.JPG	 Cue6.JPG	 Target1468.JPG	 867	 616876	 1
10370	20130315	11:34:35	2	 cueDelayProbe	 626525	 4000	 low		 Cue4.JPG	 Cue4.JPG	 Cue4.JPG	 Target1367.JPG	 1341	 632382	 1
			1												
10616	20131023	16:21:08	2	 cueDelay	 93140	 1000	 low		 Cue5.JPG	 Cue5.JPG	 Cue5.JPG	 NA			
10616	20131023	16:21:08	2	 cueDelayProbe	 97140	 1000	 high		 Cue3.JPG	 Cue6.JPG	 Cue2.JPG	 Target1468.JPG	 1110	 101267	 1
10616	20131023	16:21:08	2	 cueDelayProbe	 103673	 1000	 low		 Cue7.JPG	 Cue7.JPG	 Cue7.JPG	 Target2358.JPG	 825	 109032	 1
10616	20131023	16:21:08	2	 cueDelayProbe	 111723	 8000	 high		 Cue3.JPG	 Cue6.JPG	 Cue7.JPG	 Target1457.JPG	 1169	 117426	 1
10616	20131023	16:21:08	2	 cueDelayProbe	 126774	 1000	 high		 Cue6.JPG	 Cue2.JPG	 Cue4.JPG	 Target1357.JPG	 1082	 130872	 1
