subj	date	Experiment	SessionTime	level	Procedure	Grid1.OnsetTime	Delay.OnsetTime	Target.OnsetTime	Delay_time	ITI	Load	Block	Cue1_img	Cue2_img	Cue3_img	Target_img	Target.RT	Target.RTTime	Target.ACC	Match
10370	20130315	1_A	11:34:35	2	 cueDelay	 272778	 274278		 1500	 1000	 low		 Cue5.JPG	 Cue5.JPG	 Cue5.JPG	 NA				 NA
10370	20130315	1_A	11:34:35	2	 cueDelayProbe	 276778	 278277	 279811	 1500	 1000	 high		 Cue3.JPG	 Cue6.JPG	 Cue2.JPG	 Target1468.JPG	 1370	 281181	 1	 yes
10370	20130315	1_A	11:34:35	2	 cueDelayProbe	 283327	 284827	 287860	 3000	 1000	 low		 Cue7.JPG	 Cue7.JPG	 Cue7.JPG	 Target2358.JPG	 1088	 288948	 1	 no
10370	20130315	1_A	11:34:35	2	 cueDelayProbe	 291377	 292877	 295893	 3000	 8000	 high		 Cue3.JPG	 Cue6.JPG	 Cue7.JPG	 Target1457.JPG	 1465	 297358	 1	 yes
10370	20130315	1_A	11:34:35	2	 cueDelayProbe	 306409	 307909	 309426	 1500	 1000	 high		 Cue6.JPG	 Cue2.JPG	 Cue4.JPG	 Target1357.JPG	 2277	 311703	 1	 no
10370	20130315	1_A	11:34:35	2	 cueDelayProbe	 312942	 314442	 317459	 3000	 4000	 low		 Cue2.JPG	 Cue2.JPG	 Cue2.JPG	 Target2368.JPG	 948	 318407	 1	 yes
10370	20130315	1_A	11:34:35	2	 cueDelayProbe	 323975	 325475	 326991	 1500	 2000	 low		 Cue4.JPG	 Cue4.JPG	 Cue4.JPG	 Target1457.JPG	 1151	 328142	 1	 yes
10370	20130315	1_A	11:34:35	2	 cueDelayProbe	 331508	 333008	 334541	 1500	 1000	 low		 Cue5.JPG	 Cue5.JPG	 Cue5.JPG	 Target2367.JPG	 1133	 335674	 1	 no
10370	20130315	1_A	11:34:35	2	 cue	 338057			 NA	 1000	 high		 Cue5.JPG	 Cue2.JPG	 Cue3.JPG	 NA				 NA
10370	20130315	1_A	11:34:35	2	 cueDelayProbe	 340557	 342057	 343590	 1500	 1000	 low		 Cue8.JPG	 Cue8.JPG	 Cue8.JPG	 Target2357.JPG	 1179	 344769	 1	 no
10370	20130315	1_A	11:34:35	2	 cue	 347107			 NA	 1000	 low		 Cue6.JPG	 Cue6.JPG	 Cue6.JPG	 NA				 NA
10370	20130315	1_A	11:34:35	2	 cueDelayProbe	 349607	 351107	 352640	 1500	 1000	 high		 Cue6.JPG	 Cue7.JPG	 Cue4.JPG	 Target1368.JPG	 1214	 353854	 1	 yes
10370	20130315	1_A	11:34:35	2	 cueDelay	 356156	 357656		 3000	 2000	 low		 Cue1.JPG	 Cue1.JPG	 Cue1.JPG	 NA				 NA
10370	20130315	1_A	11:34:35	2	 cueDelayProbe	 362656	 364156	 365673	 1500	 8000	 high		 Cue4.JPG	 Cue2.JPG	 Cue6.JPG	 Target1357.JPG	 1512	 367185	 1	 no
10370	20130315	1_A	11:34:35	2	 cueDelay	 376189	 377689		 1500	 2000	 high		 Cue1.JPG	 Cue3.JPG	 Cue6.JPG	 NA				 NA
10370	20130315	1_A	11:34:35	2	 cueDelayProbe	 381188	 382688	 385705	 3000	 4000	 high		 Cue3.JPG	 Cue5.JPG	 Cue8.JPG	 Target1467.JPG	 2385	 388090	 1	 no
10370	20130315	1_A	11:34:35	2	 cue	 392221			 NA	 16000	 low		 Cue2.JPG	 Cue2.JPG	 Cue2.JPG	 NA				 NA
10370	20130315	1_A	11:34:35	2	 cue	 409720			 NA	 2000	 low		 Cue4.JPG	 Cue4.JPG	 Cue4.JPG	 NA				 NA
10370	20130315	1_A	11:34:35	2	 cueDelay	 413220	 414720		 3000	 8000	 high		 Cue4.JPG	 Cue2.JPG	 Cue5.JPG	 NA				 NA
10370	20130315	1_A	11:34:35	2	 cue	 425719			 NA	 2000	 high		 Cue1.JPG	 Cue4.JPG	 Cue5.JPG	 NA				 NA
10370	20130315	1_A	11:34:35	2	 cue	 429219			 NA	 1000	 high		 Cue6.JPG	 Cue1.JPG	 Cue8.JPG	 NA				 NA
10370	20130315	1_A	11:34:35	2	 cueDelay	 431719	 433219		 1500	 1000	 high		 Cue5.JPG	 Cue8.JPG	 Cue3.JPG	 NA				 NA
10370	20130315	1_A	11:34:35	2	 cueDelay	 435719	 437219		 1500	 1000	 low		 Cue7.JPG	 Cue7.JPG	 Cue7.JPG	 NA				 NA
10370	20130315	1_A	11:34:35	2	 cueDelayProbe	 439718	 441218	 442735	 1500	 1000	 high		 Cue4.JPG	 Cue8.JPG	 Cue6.JPG	 Target1358.JPG	 0	 0	 0	 yes
10370	20130315	1_A	11:34:35	2	 cueDelayProbe	 446218	 447718	 452234	 4500	 2000	 low		 Cue6.JPG	 Cue6.JPG	 Cue6.JPG	 Target1357.JPG	 883	 453117	 1	 no
10370	20130315	1_A	11:34:35	2	 cue	 456751			 NA	 1000	 low		 Cue3.JPG	 Cue3.JPG	 Cue3.JPG	 NA				 NA
10370	20130315	1_A	11:34:35	2	 cueDelay	 459251	 460751		 3000	 2000	 low		 Cue3.JPG	 Cue3.JPG	 Cue3.JPG	 NA				 NA
10370	20130315	1_A	11:34:35	2	 cue	 465750			 NA	 4000	 high		 Cue4.JPG	 Cue6.JPG	 Cue7.JPG	 NA				 NA
10370	20130315	1_A	11:34:35	2	 cueDelay	 471250	 472750		 1500	 1000	 low		 Cue4.JPG	 Cue4.JPG	 Cue4.JPG	 NA				 NA
10370	20130315	1_A	11:34:35	2	 cueDelayProbe	 475250	 476750	 479783	 3000	 1000	 high		 Cue5.JPG	 Cue3.JPG	 Cue7.JPG	 Target2468.JPG	 2195	 481978	 1	 no
10370	20130315	1_A	11:34:35	2	 cueDelayProbe	 483299	 484799	 486316	 1500	 4000	 low		 Cue8.JPG	 Cue8.JPG	 Cue8.JPG	 Target2468.JPG	 1525	 487841	 1	 yes
10370	20130315	1_A	11:34:35	2	 cueDelay	 492832	 494332		 3000	 1000	 high		 Cue6.JPG	 Cue8.JPG	 Cue1.JPG	 NA				 NA
10370	20130315	1_A	11:34:35	2	 cueDelay	 498332	 499832		 4500	 2000	 high		 Cue2.JPG	 Cue7.JPG	 Cue5.JPG	 NA				 NA
10370	20130315	1_A	11:34:35	2	 cueDelayProbe	 506331	 507831	 512348	 4500	 1000	 low		 Cue5.JPG	 Cue5.JPG	 Cue5.JPG	 Target1357.JPG	 1076	 513424	 1	 yes
10370	20130315	1_A	11:34:35	2	 cueDelayProbe	 515864	 517364	 520364	 3000	 1000	 high		 Cue8.JPG	 Cue6.JPG	 Cue2.JPG	 Target1358.JPG	 0	 0	 0	 yes
10370	20130315	1_A	11:34:35	2	 cueDelayProbe	 523864	 525364	 529863	 4500	 2000	 high		 Cue1.JPG	 Cue4.JPG	 Cue7.JPG	 Target2368.JPG	 1101	 530964	 1	 no
10370	20130315	1_A	11:34:35	2	 cue	 534380			 NA	 4000	 high		 Cue3.JPG	 Cue7.JPG	 Cue6.JPG	 NA				 NA
10370	20130315	1_A	11:34:35	2	 cueDelay	 539880	 541380		 4500	 2000	 low		 Cue3.JPG	 Cue3.JPG	 Cue3.JPG	 NA				 NA
10370	20130315	1_A	11:34:35	2	 cueDelay	 547879	 549379		 1500	 4000	 high		 Cue5.JPG	 Cue1.JPG	 Cue8.JPG	 NA				 NA
10370	20130315	1_A	11:34:35	2	 cue	 554879			 NA	 16000	 low		 Cue8.JPG	 Cue8.JPG	 Cue8.JPG	 NA				 NA
10370	20130315	1_A	11:34:35	2	 cueDelayProbe	 572378	 573878	 576894	 3000	 1000	 low		 Cue3.JPG	 Cue3.JPG	 Cue3.JPG	 Target2368.JPG	 1056	 577950	 1	 yes
10370	20130315	1_A	11:34:35	2	 cueDelayProbe	 580411	 581911	 586427	 4500	 4000	 high		 Cue2.JPG	 Cue8.JPG	 Cue6.JPG	 Target1467.JPG	 1994	 588421	 1	 yes
10370	20130315	1_A	11:34:35	2	 cue	 592943			 NA	 1000	 high		 Cue8.JPG	 Cue4.JPG	 Cue1.JPG	 NA				 NA
10370	20130315	1_A	11:34:35	2	 cue	 595443			 NA	 2000	 low		 Cue1.JPG	 Cue1.JPG	 Cue1.JPG	 NA				 NA
